Anna	F	2604	1880
Elizabeth	F	1939	1880
Margaret	F	1578	1880
Alice	F	1414	1880
Sarah	F	1288	1880
William	M	9532	1880
Charles	M	5348	1880
Frank	M	3242	1880
Thomas	M	2534	1880
Robert	M	2415	1880
Anna	F	2698	1881
Elizabeth	F	1852	1881
Minnie	F	1653	1881
Annie	F	1326	1881
Alice	F	1308	1881
William	M	8524	1881
George	M	4664	1881
Frank	M	2834	1881
Henry	M	2339	1881
Edward	M	2177	1881
Anna	F	3143	1882
Elizabeth	F	2186	1882
Margaret	F	1821	1882
Alice	F	1542	1882
Annie	F	1492	1882
William	M	9298	1882
George	M	5193	1882
Frank	M	3176	1882
Thomas	M	2610	1882
Robert	M	2500	1882
Anna	F	3306	1883
Elizabeth	F	2255	1883
Margaret	F	1881	1883
Ida	F	1634	1883
Clara	F	1548	1883
William	M	8387	1883
Charles	M	4826	1883
Frank	M	2986	1883
Henry	M	2383	1883
Thomas	M	2316	1883
Anna	F	3860	1884
Elizabeth	F	2549	1884
Margaret	F	2142	1884
Clara	F	1852	1884
Annie	F	1739	1884
William	M	8897	1884
George	M	4961	1884
Frank	M	3218	1884
Thomas	M	2572	1884
Robert	M	2468	1884
Anna	F	3994	1885
Elizabeth	F	2582	1885
Minnie	F	2178	1885
Bertha	F	1860	1885
Annie	F	1703	1885
William	M	8044	1885
George	M	4674	1885
Frank	M	3067	1885
Henry	M	2406	1885
Thomas	M	2266	1885
Anna	F	4283	1886
Elizabeth	F	2680	1886
Margaret	F	2275	1886
Bertha	F	2001	1886
Florence	F	1860	1886
William	M	8252	1886
George	M	4671	1886
Frank	M	3127	1886
Robert	M	2443	1886
Thomas	M	2337	1886
Anna	F	4227	1887
Emma	F	2647	1887
Minnie	F	2215	1887
Clara	F	1984	1887
Ida	F	1929	1887
William	M	7470	1887
George	M	4284	1887
Frank	M	2883	1887
Henry	M	2228	1887
Edward	M	2125	1887
Anna	F	4982	1888
Emma	F	3087	1888
Minnie	F	2654	1888
Florence	F	2444	1888
Bessie	F	2278	1888
William	M	8705	1888
George	M	4912	1888
Frank	M	3459	1888
Robert	M	2814	1888
Henry	M	2596	1888
Anna	F	5062	1889
Margaret	F	2917	1889
Minnie	F	2624	1889
Ethel	F	2463	1889
Clara	F	2319	1889
William	M	7772	1889
George	M	4430	1889
Frank	M	2975	1889
Harry	M	2559	1889
Edward	M	2299	1889
